Name,Worth,Age,Country,Self Made,Dropped Out,Bachelors Degree,Masters Degree,MBA1,phd,professional_degree,Other Degrees,Joining Year,No Of Times On List,No Of Times Left,No Of Comebacks,Longest Time Away,Sector,Gender1,Detail1,Detail2,Number Of Degress,Presence On List,Continent/Region,last_year_on_list,last_off_list,founding_year,relation,Cluster,Age at start
Sergei Petrov,1.7,59,Russia,Y,N,N,N,N,N,N,N,2008,2,2,1,5,Logistics,male,"auto import and dealerships, Self Made",NA,0,0.2,Europe,2014,2015,,,The Hustler,
Cui Lijie,1.7,58,Hong Kong,N,N,N,N,N,N,N,N,2015,3,0,0,0,Gaming,female,gambling,NA,0,1,Asia,2017,,,,The Newbie,
Aloke Lohia,1.7,58,India,N,N,N,N,N,N,N,N,2011,6,1,1,1,Manufacturing,male,petrochemicals,NA,0,0.86,Asia,2017,2016,1988,,The Consistent,
Matthias Reinhart,1.7,57,Switzerland,Y,N,N,N,N,N,N,N,2016,2,0,0,0,Finance,male,"finance, Self Made",NA,0,1,Europe,2017,,,,The Newbie,
Brian Roberts,1.7,57,United States,N,N,Y,N,Y,N,N,N,2014,4,0,0,0,Media,male,Comcast,"Bachelor of Arts / Science, University of Pennsylvania; Master of Business Administration, Wharton School",2,1,North America,2017,,1969,Relation,The Consistent,
Sandro Veronesi,1.7,57,Italy,Y,N,Y,N,N,N,N,N,2013,5,0,0,0,Retail,male,"fashion, Self Made","Bachelor of Arts / Science, University of Verona",1,1,Europe,2017,,1987,Founder,The Consistent,28
Huang Zelan,1.7,57,China,Y,N,N,N,N,N,N,N,2011,3,1,0,0,Metals and Mining,male,"metals, Self Made",NA,0,0.43,Asia,2013,2014,,,The Ghost,
Todd Wagner,1.7,56,United States,Y,N,Y,N,N,Y,Y,N,2007,11,0,0,0,Media,male,"online media, Self Made","Bachelor of Arts / Science, Indiana University; Doctor of Jurisprudence, University of Virginia",2,1,North America,2017,,1995,Founder,The Consistent,35
Yu Minhong,1.7,55,China,Y,N,N,N,N,N,N,N,2011,5,2,2,1,Education,male,"education, Self Made",NA,0,0.71,Asia,2017,2015,1993,Founder,The Hustler,32
George Economou,1.7,55,Greece,Y,N,Y,Y,N,N,N,N,2008,1,1,0,0,Logistics,male,"self made, shipping","Massachusetts Institute of Technology, Bachelor of Arts / Science ;Massachusetts Institute of Technology, Master of Science",2,0.1,Europe,2008,2009,,,The Ghost,
Lin Jianhua,1.7,54,China,Y,N,N,N,N,N,N,N,2015,3,0,0,0,Energy,male,"solar panel components, Self Made",NA,0,1,Asia,2017,,,,The Newbie,
Zhu Baoguo,1.7,54,China,Y,N,Y,N,N,N,N,N,2011,3,1,1,4,Health care,male,"pharmaceuticals, Self Made","Bachelor of Arts / Science, Henan Normal University",1,0.43,Asia,2017,2012,,,The Hustler,
Wang Jiufang,1.7,53,China,Y,N,N,N,N,N,N,N,2010,3,1,1,5,Real Estate,male,"real estate, Self Made",NA,0,0.38,Asia,2017,2011,,,The Hustler,
He Simo,1.7,52,China,Y,N,N,N,N,N,N,N,2017,1,0,0,0,Energy,male,"power supply manufacturer, Self Made",NA,0,1,Asia,2017,,,,The Newbie,
Tor Peterson,1.7,52,United States,Y,N,Y,N,N,N,N,N,2012,5,1,1,1,Metals and Mining,male,"commodities, Self Made","Bachelor of Arts / Science, Duke University",1,0.83,North America,2017,2016,1974,Employee,The Consistent,
Wang Laisheng,1.7,52,China,Y,N,N,N,N,N,N,N,2014,4,0,0,0,Technology,male,"electronics components, Self Made",NA,0,1,Asia,2017,,2004,Founder,The Consistent,
Xiao Yongming,1.7,52,China,Y,N,N,N,N,N,N,N,2017,1,0,0,0,Manufacturing,male,"fertilizer, Self Made",NA,0,1,Asia,2017,,,,The Newbie,
Jitendra Virwani,1.7,51,India,N,N,Y,N,N,N,N,N,2013,5,0,0,0,Real Estate,male,real estate,"Bachelor of Arts / Science, Bangalore University",1,1,Asia,2017,,1993,,The Consistent,
Philip Falcone,1.7,51,United States,Y,N,Y,N,N,N,N,N,2008,7,1,0,0,Finance,male,"hedge funds, Self Made","Bachelor of Arts / Science, Harvard University",1,0.7,North America,2014,2015,2001,Founder,The Hustler,39
