Name,Worth,Age,Country,Self Made,Dropped Out,Bachelors Degree,Masters Degree,MBA1,phd,professional_degree,Other Degrees,Joining Year,No Of Times On List,No Of Times Left,No Of Comebacks,Longest Time Away,Sector,Gender1,Detail1,Detail2,Number Of Degress,Presence On List,Continent/Region,last_year_on_list,last_off_list,founding_year,relation,Cluster,Age at start
Bjorgolfur Gudmundsson,1.2,67,Iceland,Y,N,Y,N,N,N,N,N,2007,2,1,0,0,Finance,male,"self made, Finance","Iceland College of Commerce in Reykjav<ed>k, Bachelor of Arts / Science",1,0.18,Europe,2008,2009,,,The Ghost,
Langley Walker,1.2,67,Australia,Y,N,N,N,N,N,N,N,2013,1,1,0,0,Real Estate,male,"property, Self Made","Diploma, High School",1,0.2,Oceania,2013,2014,,,The Ghost,
Low Tuck Kwong,1.2,67,Indonesia,Y,N,N,N,N,N,N,N,2010,7,1,0,0,Metals and Mining,male,"coal, Self Made",NA,0,0.88,Asia,2016,2017,1973,Founder,The Consistent,25
Mehmet Hattat,1.2,67,Turkey,Y,N,N,N,N,N,N,N,2011,3,1,0,0,Diversified,male,"diversified, Self Made",NA,0,0.43,Middle East,2013,2014,,,The Ghost,
Li Rucheng,1.2,65,China,Y,N,N,N,N,N,N,N,2017,1,0,0,0,Fashion and Retail,male,"apparel, Self Made",NA,0,1,Asia,2017,,,,The Newbie,
Martha MacMillan,1.2,65,United States,N,N,N,N,N,N,N,N,2015,3,0,0,0,Agriculture,female,Cargill,NA,0,1,North America,2017,,,,The Newbie,
Rit Thirakomen,1.2,65,Thailand,N,N,Y,N,N,N,N,N,2017,1,0,0,0,Food and Beverage,male,restaurants,"Bachelor of Science in Engineering, Chulalongkorn University",1,1,Asia,2017,,,,The Newbie,
Tse Ping,1.2,65,China,Y,N,N,N,N,N,N,N,2015,3,0,0,0,Health care,male,"pharmaceuticals, Self Made",NA,0,1,Asia,2017,,,,The Newbie,
Jean-Charles Naouri,1.2,65,France,Y,N,Y,N,N,Y,N,N,2015,1,1,0,0,Retail,male,"supermarkets, sporting goods, Self Made","Harvard University; Ecole Nationale d'Administration; Ph.D, Ecole Normale Superieure",3,0.33,Europe,2015,2016,,,The Newbie,
Toichi Takenaka,1.2,65,Japan,N,N,N,N,N,N,N,N,2007,2,1,0,0,Construction and Engineering,male,NA,NA,0,0.18,Asia,2008,2009,1610,Relation,The Ghost,
Tuncay Ozilhan,1.2,65,Turkey,N,N,N,N,Y,N,N,N,2007,7,1,0,0,Food and Beverage,male,"beverages, diversified","Master of Business Administration, Long Island University",1,0.64,Middle East,2013,2014,,,The Ghost,
Michael Price,1.2,64,United States,N,N,Y,N,N,N,N,N,2007,11,0,0,0,Investments,male,investments,"Bachelor of Arts / Science, University of Oklahoma",1,1,North America,2017,,2001,,The Consistent,
Wei Ing-Chou,1.2,64,Taiwan,N,N,N,N,N,N,N,N,2010,8,0,0,0,Food and Beverage,male,"food, beverages",NA,0,1,Asia,2017,,,Founder,The Consistent,
Ahsen Ozokur,1.2,64,Turkey,N,N,N,N,N,N,N,N,2008,7,2,1,1,Retail,female,food manufacturing,NA,0,0.7,Middle East,2015,2016,1944,,The Hustler,
Clifford Illig,1.2,64,United States,Y,N,Y,N,N,N,N,N,2015,1,1,0,0,Health care,male,"health care, Self Made","Bachelor of Arts / Science, University of Kansas",1,0.33,North America,2015,2016,,,The Newbie,
Analjit Singh,1.2,63,India,N,N,Y,N,Y,N,N,N,2017,1,0,0,0,Health care,male,healthcare,"Bachelor of Arts / Science, Delhi University; Master of Business Administration, Boston University",2,1,Asia,2017,,,,The Newbie,
Tian Ming,1.2,63,China,Y,N,N,N,N,N,N,N,2014,4,0,0,0,Technology,male,"measuring instruments, Self Made",NA,0,1,Asia,2017,,1990,Founder,The Consistent,
Mohammed Al Barwani,1.2,63,Oman,Y,N,N,N,N,N,N,N,2014,2,1,0,0,Energy,male,"oil, Self Made",NA,0,0.5,Middle East,2015,2016,1982,Founder,The Hustler,31
Vincent Tan,1.2,63,Malaysia,Y,N,N,N,N,N,N,N,2010,6,1,0,0,Diversified,male,"retail, restaurants, property, Self Made",NA,0,0.75,Asia,2015,2016,1985,Founder,The Hustler,34
K. Dinesh,1.2,62,India,Y,N,N,Y,N,N,N,N,2012,5,1,1,1,Software,male,"software services, Self Made","Master of Science, Bangalore University",1,0.83,Asia,2017,2013,,,The Consistent,
Asok Kumar Hiranandani,1.2,62,Singapore,N,N,N,N,N,N,N,N,2013,5,0,0,0,Real Estate,male,real estate,NA,0,1,Asia,2017,,1947,Relation,The Consistent,
Surendra Hiranandani,1.2,62,India,Y,N,N,N,N,N,N,N,2015,3,0,0,0,Real Estate,male,"real estate, Self Made",NA,0,1,Asia,2017,,,,The Newbie,
William MacMillan,1.2,62,United States,N,N,N,N,N,N,N,N,2015,3,0,0,0,Agriculture,female,Cargill,NA,0,1,North America,2017,,,,The Newbie,
Edward Stack,1.2,62,United States,Y,N,Y,N,N,N,N,N,2013,4,1,1,1,Retail,male,"Dick's Sporting Goods, Self Made","Bachelor of Arts / Science, St. John Fisher College",1,0.8,North America,2017,2016,,,The Consistent,
Wang Wenliang,1.2,62,China,Y,N,N,Y,N,N,N,N,2015,3,0,0,0,Logistics,male,"shipping ports, Self Made","Master of Arts, Liaoning Radio and TV University",1,1,Asia,2017,,,,The Newbie,
Wei Ying-Chiao,1.2,62,Taiwan,N,N,N,N,N,N,N,N,2010,8,0,0,0,Food and Beverage,male,"food, beverages",NA,0,1,Asia,2017,,,Founder,The Consistent,
William Connor,1.2,62,United States,N,N,N,N,N,Y,Y,N,2007,6,1,0,0,Service,male,sourcing,"Associate in Arts / Science, Stanford University; Doctor of Jurisprudence, University of Santa Clara",2,0.55,North America,2012,2013,,,The Ghost,
Lev Leviev,1.2,61,Israel,Y,N,N,N,N,N,N,N,2007,11,0,0,0,Metals and Mining,male,"diamonds, Self Made",NA,0,1,Middle East,2017,,1934,Founder,The Consistent,
Ni Zhaoxing,1.2,61,China,Y,N,N,N,N,N,N,N,2013,5,0,0,0,Real Estate,male,"real estate, Self Made",NA,0,1,Asia,2017,,1992,,The Consistent,37
Mehmet Aydinlar,1.2,60,Turkey,Y,N,N,N,N,N,N,N,2015,3,0,0,0,Health care,male,"hospitals, Self Made",NA,0,1,Middle East,2017,,,,The Newbie,
Zhang Anqiang,1.2,60,Hong Kong,Y,N,N,N,N,N,N,N,2017,1,0,0,0,Software,female,"software, Self Made",NA,0,1,Asia,2017,,,,The Newbie,
Zhang Zhangsun,1.2,60,China,Y,N,N,N,N,N,N,N,2016,2,0,0,0,Real Estate,male,"real estate, Self Made",NA,0,1,Asia,2017,,,,The Newbie,
Itamar Locks,1.2,60,Brazil,N,N,N,N,N,N,N,N,2015,1,1,0,0,Agriculture,female,agribusiness,NA,0,0.33,South America,2015,2016,,,The Newbie,
Chu Jinfu,1.2,59,China,Y,N,N,N,Y,N,N,Y,2015,2,1,1,1,Manufacturing,male,"electrical equipment, Self Made","EMBA, Tsinghua University",1,0.67,Asia,2017,2016,,,The Newbie,
J. Christopher Flowers,1.2,59,United States,Y,N,Y,N,N,N,N,N,2015,3,0,0,0,Investments,male,"investments, Self Made","Bachelor of Arts / Science, Harvard University",1,1,North America,2017,,,,The Newbie,
Gavril Yushvaev,1.2,59,Russia,Y,N,N,N,N,N,N,N,2008,8,1,1,2,Metals and Mining,male,"precious metals, real estate, Self Made",NA,0,0.8,Europe,2017,2009,,,The Hustler,
Dennis Albaugh,1.2,59,United States,Y,N,N,N,N,N,N,Y,2007,3,1,0,0,Agriculture,male,"self made, Agriculture",Des Moines Area Community College,1,0.27,North America,2009,2010,,,The Ghost,
Huh Chang-Soo,1.2,59,South Korea,N,N,Y,N,Y,N,N,N,2008,1,1,0,0,Diversified,male,Diversified,"Korea University, Bachelor of Arts / Science ;St Louis University, Master of Business Administration",2,0.1,Asia,2008,2009,,,The Ghost,
Cui Genliang,1.2,58,China,Y,N,N,N,N,N,N,N,2017,1,0,0,0,Manufacturing,male,"electric components, Self Made",NA,0,1,Asia,2017,,,,The Newbie,
Domenico Dolce,1.2,58,Italy,Y,N,N,N,N,N,N,N,2013,5,0,0,0,Fashion and Retail,male,"luxury goods, Self Made",NA,0,1,Europe,2017,,1987,Founder,The Consistent,29
Mehmet Sinan Tara,1.2,58,Turkey,N,N,N,N,Y,N,N,N,2007,10,1,1,1,Construction and Engineering,male,construction,"Master of Business Administration, Stanford University",1,0.91,Middle East,2017,2009,1957,,The Consistent,
Blairo Maggi,1.2,58,Brazil,N,N,N,N,N,N,N,N,2015,1,1,0,0,Agriculture,female,agribusiness,NA,0,0.33,South America,2015,2016,,,The Newbie,
He Jinming,1.2,58,China,Y,N,N,N,N,N,N,N,2010,2,1,0,0,Retail,male,"retail, Self Made",NA,0,0.25,Asia,2011,2012,,,The Ghost,
"Cargill MacMillan, III.",1.2,57,United States,N,N,N,N,N,N,N,N,2007,8,1,1,3,Agriculture,male,Cargill,NA,0,0.73,North America,2017,2012,,,The Hustler,
Zhang Yue,1.2,57,China,Y,N,N,N,N,N,N,N,2017,1,0,0,0,Manufacturing,male,"air conditioning, Self Made",NA,0,1,Asia,2017,,,,The Newbie,
David Yakobashvili,1.2,57,Russia,Y,N,N,N,N,N,N,N,2014,1,1,0,0,Energy,male,"oil, real estate, Self Made",NA,0,0.25,Europe,2014,2015,,Founder,The Hustler,
Nikolai Maximov,1.2,57,Russia,Y,N,Y,N,N,N,N,N,2011,5,1,0,0,Diversified,male,"investments, Self Made","Bachelor of Arts / Science, Sverdlovsk Mining Institute",1,0.71,Europe,2015,2016,2004,,The Hustler,47
Timothy Blixseth,1.2,57,United States,Y,N,N,N,N,N,N,N,2007,2,1,0,0,Real Estate,male,NA,NA,0,0.18,North America,2008,2009,,,The Ghost,
Stephen Feinberg,1.2,56,United States,Y,N,Y,N,N,N,N,N,2008,4,1,1,6,Finance,male,"private equity, Self Made","Bachelor of Arts / Science, Princeton University",1,0.4,North America,2017,2009,,,The Hustler,
Ajay Kalsi,1.2,56,India,Y,N,Y,Y,N,N,N,N,2011,5,1,1,2,Energy,male,"oil & gas, Self Made","Bachelor of Arts / Science, London School of Economics; Master of Science, University of Cambridge",2,0.71,Asia,2017,2015,1998,Founder,The Hustler,38
Andrei Kosogov,1.2,56,Russia,Y,N,Y,N,N,N,N,N,2007,10,1,1,1,Energy,male,"oil, banking, telecom, Self Made","Bachelor of Science in Engineering, Moscow Power Engineering Institute",1,0.91,Europe,2017,2009,,Supervisory Board Or Directors,The Consistent,
Zhang Xiugen,1.2,56,China,Y,N,N,N,N,N,N,N,2017,1,0,0,0,Automotive,male,"automobiles, Self Made",NA,0,1,Asia,2017,,,,The Newbie,
Richard Chilton Jr,1.2,56,United States,Y,N,Y,N,N,N,N,N,2008,7,2,1,1,Finance,male,"hedge funds, Self Made","Bachelor of Arts / Science, Alfred University",1,0.7,North America,2015,2016,1992,,The Hustler,34
Carl Douglas,1.2,55,Sweden,N,N,Y,N,N,N,N,N,2017,1,0,0,0,Investments,male,investments,"Bachelor of Arts / Science, Middlebury College",1,1,Europe,2017,,,,The Newbie,
Huang Yi,1.2,55,Hong Kong,Y,N,Y,N,N,N,N,N,2011,5,1,1,2,Automotive,male,"auto distribution, Self Made","Bachelor of Arts / Science, Xiamen University",1,0.71,Asia,2017,2015,,,The Hustler,
Abdulsamad Rabiu,1.2,55,Nigeria,N,N,N,N,N,N,N,N,2014,3,1,0,0,Retail,male,"cement, sugar",NA,0,0.75,Africa,2016,2017,,,The Consistent,
V.G. Siddhartha,1.2,55,India,N,N,N,N,N,N,N,N,2015,1,1,0,0,Retail,male,retail,NA,0,0.33,Asia,2015,2016,,,The Newbie,
Stefano Gabbana,1.2,54,Italy,Y,N,Y,N,N,N,N,N,2013,5,0,0,0,Fashion and Retail,male,"luxury goods, Self Made","Bachelor of Arts / Science, Istituto Superiore di Industrie Artistiche",1,1,Europe,2017,,1987,Founder,The Consistent,25
Vadim Yakunin,1.2,54,Russia,Y,N,Y,N,N,N,N,N,2011,2,1,1,5,Health care,male,"pharmacy, Self Made","Bachelor of Arts / Science, Moscow Institute of Physics and Technology",1,0.29,Europe,2017,2012,,,The Hustler,
Yang Zhimao,1.2,54,China,Y,N,N,N,N,N,N,N,2015,2,1,1,1,Energy,male,"utilities, real estate, Self Made",NA,0,0.67,Asia,2017,2016,,,The Newbie,
Zhang Xinghai,1.2,54,China,Y,N,N,N,N,N,N,N,2017,1,0,0,0,Construction and Engineering,male,"machinery, Self Made",NA,0,1,Asia,2017,,,,The Newbie,
G.V. Prasad,1.2,54,India,N,N,Y,N,N,N,N,N,2015,1,1,0,0,Health care,male,pharmaceuticals,"Bachelor of Science in Engineering, Illinois Institute of Technology; Master, Purdue University",2,0.33,Asia,2015,2016,,,The Newbie,
Serhiy Tihipko,1.2,54,Ukraine,Y,N,Y,N,N,N,N,N,2013,2,1,0,0,Finance,male,"banking, agriculture, Self Made","Diploma, Dniepropetrovsk Metallurgical Institute",1,0.4,Europe,2014,2015,,Founder,The Hustler,
Stefan von Holtzbrinck,1.2,53,Germany,N,N,N,N,N,Y,N,N,2007,11,0,0,0,Media,male,publishing,"Diploma, University of Munich",1,1,Europe,2017,,1948,Relation,The Consistent,
Femi Otedola,1.2,53,Nigeria,Y,N,N,N,N,N,N,N,2009,3,2,1,5,Service,male,"gas stations, utilities, Self Made",NA,0,0.33,Africa,2016,2017,,,The Hustler,
Li Jinyuan,1.2,53,China,Y,N,N,N,Y,N,N,N,2011,1,1,0,0,Health care,male,"pharmaceuticals, Self Made",NA,0,0.14,Asia,2011,2012,,,The Ghost,
Mokhzani Mahathir,1.2,53,Malaysia,N,N,Y,N,N,N,N,N,2014,1,1,0,0,Energy,male,oil & gas,"Bachelor of Arts / Science, University of Tulsa",1,0.25,Asia,2014,2015,1975,Founder,The Hustler,
Rajendra Singh,1.2,53,United States,Y,N,Y,N,N,Y,N,N,2008,1,1,0,0,Technology,male,NA,NA,0,0.1,North America,2008,2009,,,The Ghost,
Zdenek Bakala,1.2,53,Czech Republic,Y,N,Y,N,Y,N,N,N,2010,5,1,0,0,Metals and Mining,male,"coal, Self Made","Master of Business Administration, Tuck School of Business; Bachelor of Arts / Science, University of California Berkeley",2,0.63,Europe,2014,2015,1994,Founder,The Hustler,34
Oleg Boyko,1.2,52,Russia,Y,N,Y,N,Y,N,N,N,2007,9,1,1,2,Diversified,male,"diversified, Self Made","Bachelor of Arts / Science, Moscow Aviation University; Master of Business Administration, Russian National Academy of National Economy and Public Administration",2,0.82,Europe,2017,2009,,,The Hustler,
Ilona Herlin,1.2,52,Finland,N,N,N,N,N,N,N,N,2014,4,0,0,0,Manufacturing,female,"elevators, escalators",NA,0,1,Europe,2017,,,Relation,The Consistent,
Huang Qisen,1.2,52,China,Y,N,Y,N,N,N,N,N,2015,3,0,0,0,Real Estate,male,"real estate, Self Made","Bachelor of Arts / Science, Fuzhou University",1,1,Asia,2017,,,,The Newbie,
Li Tan,1.2,52,China,Y,N,Y,N,N,N,N,N,2012,4,1,1,2,Health care,male,"pharmaceuticals, Self Made","Bachelor of Arts / Science, Sichuan University",1,0.67,Asia,2017,2013,,,The Hustler,
Stephen Saad,1.2,52,South Africa,Y,N,Y,N,N,N,N,N,2013,4,1,1,1,Health care,male,"pharmaceuticals, Self Made","Bachelor of Arts / Science, University of KwaZulu-Natal",1,0.8,Africa,2017,2016,1997,Founder,The Consistent,33
Zhou Guohui,1.2,52,China,Y,N,Y,N,Y,N,N,N,2015,3,0,0,0,Logistics,female,"logistics, Self Made","Bachelor of Arts / Science, Shenzhen University; Master of Business Administration, University of Wales",2,1,Asia,2017,,,,The Newbie,
Liu Yiqian,1.2,52,China,Y,N,N,N,N,N,N,N,2015,2,1,0,0,Investments,male,"investments, Self Made",NA,0,0.67,Asia,2016,2017,,,The Newbie,
Fawaz Alhokair,1.2,51,Saudi Arabia,Y,N,N,N,N,N,N,N,2015,2,1,1,1,Retail,male,"retail, shopping malls, Self Made",NA,0,0.67,Middle East,2017,2016,,,The Newbie,
Lev Kvetnoi,1.2,51,Russia,Y,N,Y,N,N,N,N,N,2007,11,0,0,0,Construction and Engineering,male,"cement, airport, Self Made","Bachelor of Arts / Science, Leningrad Institute of Physical Culture",1,1,Europe,2017,,,,The Consistent,
Mark Pincus,1.2,51,United States,Y,N,Y,N,Y,N,N,N,2011,5,2,2,1,Software,male,"online games, Self Made","Bachelor of Arts / Science, University of Pennsylvania; Master of Business Administration, Harvard University",2,0.71,North America,2017,2015,2007,Founder,The Hustler,42
Wen Yibo,1.2,51,China,Y,N,Y,Y,N,N,N,N,2011,7,0,0,0,Service,male,"wastewater treatment, Self Made","Master of Science, Tsinghua University; Bachelor of Arts / Science, Lanzhou Railway College",2,1,Asia,2017,,1993,Founder,The Consistent,28
Zhu Wenchen,1.2,51,China,Y,N,N,N,N,N,N,N,2014,2,1,1,2,Health care,male,"pharmaceuticals, Self Made",NA,0,0.5,Asia,2017,2015,1999,Chairman,The Hustler,
John Coustas,1.2,51,Greece,N,N,N,N,N,N,N,N,2008,1,1,0,0,Logistics,male,shipping,,0,0.1,Europe,2008,2009,,,The Ghost,
Miao Liansheng,1.2,51,China,Y,N,Y,N,Y,N,N,N,2008,1,1,0,0,Energy,male,NA,"Beijing Economics Institute, Bachelor of Arts / Science;Beijing University, Master of Business Administration",2,0.1,Asia,2008,2009,,,The Ghost,
Silvio Scaglia,1.2,51,Italy,Y,N,Y,N,N,N,N,N,2007,3,2,1,1,Telecom,male,"telecom, Self Made","Bachelor of Arts / Science, Polytechnic University of Turin",1,0.27,Europe,2010,2011,1999,Founder,The Ghost,41
Tu Jianhua,1.2,51,China,Y,N,N,N,N,N,N,N,2013,3,1,0,0,Retail,male,"motorcycles, real estate, Self Made",NA,0,0.6,Asia,2015,2016,,,The Hustler,
Salman Alhokair,1.2,50,Saudi Arabia,Y,N,N,N,N,N,N,N,2015,2,1,1,1,Retail,male,"retail, shopping malls, Self Made",NA,0,0.67,Middle East,2017,2016,,,The Newbie,
Gleb Fetisov,1.2,50,Russia,Y,N,N,N,N,Y,N,N,2007,10,1,1,1,Telecom,male,"investments, Self Made","Doctorate, Moscow State University",1,0.91,Europe,2017,2009,,Founder,The Consistent,
Kim Tack-Jin,1.2,50,South Korea,Y,N,Y,Y,N,N,N,N,2011,6,1,1,1,Gaming,male,"online games, Self Made","Bachelor of Arts / Science, Seoul National University; Master of Science, Seoul National University",2,0.86,Asia,2017,2013,,,The Consistent,
Wang Yaohai,1.2,50,China,Y,N,N,N,N,N,N,N,2017,1,0,0,0,Manufacturing,male,"lighting, Self Made",NA,0,1,Asia,2017,,,,The Newbie,
Liu Dianbo,1.2,50,China,Y,N,N,N,N,N,N,N,2015,1,1,0,0,Health care,male,"pharmaceuticals, Self Made",NA,0,0.33,Asia,2015,2016,,,The Newbie,
Zhu Jiman,1.2,50,China,Y,N,N,N,N,N,N,N,2015,1,1,0,0,Health care,male,"pharmaceuticals, Self Made",NA,0,0.33,Asia,2015,2016,,,The Newbie,
Somphote Ahunai,1.2,49,Thailand,Y,N,N,N,Y,N,N,N,2015,2,1,1,1,Energy,male,"energy, Self Made","Master of Business Administration, Joseph M. Katz Graduate School of Business",1,0.67,Asia,2017,2016,,,The Newbie,
Liu Xiaodong,1.2,49,China,Y,N,N,N,N,N,N,N,2016,2,0,0,0,Food and Beverage,male,"flavorings, Self Made",NA,0,1,Asia,2017,,,,The Newbie,
Oleg Tinkov,1.2,49,Russia,Y,N,N,N,N,Y,N,N,2014,2,1,1,2,Finance,male,"banking, Self Made","Diploma, University of California Berkeley",1,0.5,Europe,2017,2015,1990,Founder,The Hustler,23
Anatoly Sedykh,1.2,49,Russia,Y,N,Y,N,N,N,N,N,2007,7,2,1,1,Manufacturing,male,"steel pipes, Self Made","Bachelor of Science in Engineering, Moscow Institute of Steel and Alloys",1,0.64,Europe,2014,2015,1999,Founder,The Hustler,35
Malone Mitchell,1.2,49,United States,Y,N,Y,N,N,N,N,N,2010,2,1,0,0,Energy,male,"oil & gas, Self Made","Bachelor of Arts / Science, Oklahoma State University",1,0.25,North America,2011,2012,,,The Ghost,
Tang Xiuguo,1.2,49,China,Y,N,Y,N,N,N,N,N,2011,3,1,0,0,Manufacturing,male,"manufacturing, Self Made","Bachelor of Arts / Science, Central South University",1,0.43,Asia,2013,2014,,,The Ghost,
Eric Douglas,1.2,48,Sweden,N,N,Y,N,N,N,N,N,2017,1,0,0,0,Investments,male,investments,"Bachelor of Arts / Economics, Lund University",1,1,Europe,2017,,,,The Newbie,
Yuriy Kosiuk,1.2,48,Ukraine,Y,N,Y,N,N,N,N,N,2011,7,0,0,0,Food and Beverage,male,"agriculture, Self Made","Bachelor of Science in Engineering, Kiev Food Industry Institute",1,1,Europe,2017,,1998,,The Consistent,30
Shao Zhongyi,1.2,48,China,Y,N,N,N,N,N,N,N,2015,3,0,0,0,Food and Beverage,male,"soybean trading, Self Made",NA,0,1,Asia,2017,,,,The Newbie,
Su Weizhong,1.2,48,China,Y,N,N,N,N,N,N,N,2016,2,0,0,0,Energy,male,"oil, fertilizers, Self Made",NA,0,1,Asia,2017,,,,The Newbie,
Abdul Majeed Alhokair,1.2,47,Saudi Arabia,Y,N,N,N,N,N,N,N,2015,2,1,1,1,Retail,male,"retail, real estate, Self Made",NA,0,0.67,Middle East,2017,2016,,,The Newbie,
Neil Shen,1.2,47,Hong Kong,Y,N,Y,Y,N,N,N,N,2015,3,0,0,0,Investments,male,"venture capital investing, Self Made","Bachelor of Arts / Science, Shanghai Jiaotong University; Master of Arts, Yale University",2,1,Asia,2017,,,,The Newbie,
Wang Jianfeng,1.2,47,China,Y,N,N,N,N,N,N,N,2014,4,0,0,0,Automotive,male,"auto parts, Self Made",NA,0,1,Asia,2017,,2004,Founder,The Consistent,35
Satish Reddy,1.2,47,India,N,N,Y,Y,N,N,N,N,2015,1,1,0,0,Health care,male,NA,NA,0,0.33,Asia,2015,2016,,,The Newbie,
Chi Yufeng,1.2,46,China,N,N,N,N,N,N,N,N,2017,1,0,0,0,Software,female,software,NA,0,1,Asia,2017,,,,The Newbie,
Nguyen Thi Phuong Thao,1.2,46,Vietnam,Y,N,N,N,N,N,N,N,2017,1,0,0,0,Automotive,male,"airlines, Self Made",NA,0,1,Asia,2017,,,,The Newbie,
Alan Auerbach,1.2,45,United States,Y,N,Y,Y,N,N,N,N,2015,1,1,0,0,Health care,male,"biotechnology, Self Made","Bachelor of Arts / Science, Boston University; Master of Science, University of Southern California",2,0.33,North America,2015,2016,,,The Newbie,
Chen Yansheng,1.2,45,China,Y,N,N,N,N,N,N,N,2016,1,1,0,0,Retail,male,"toys, entertainment, Self Made",NA,0,0.5,Asia,2016,2017,,,The Newbie,
Vinod Tanti,1.2,45,India,Y,N,N,N,N,N,N,N,2008,1,1,0,0,Energy,male,NA,NA,0,0.1,Asia,2008,2009,,,The Ghost,
Viktor Kharitonin,1.2,44,Russia,Y,N,Y,N,N,N,N,N,2008,5,3,3,2,Health care,male,"pharmaceuticals, Self Made","Bachelor of Arts / Science, Novosibirsk State University",1,0.5,Europe,2017,2014,,,The Hustler,
Wang Jing,1.2,44,China,Y,N,N,N,N,N,N,N,2014,4,0,0,0,Telecom,male,"telecom services, Self Made",NA,0,1,Asia,2017,,1995,Chairman,The Consistent,
Olgun Zorlu,1.2,44,Turkey,N,N,N,N,N,N,N,N,2007,2,1,0,0,Diversified,male,NA,NA,0,0.18,Middle East,2008,2009,,,The Ghost,
Gary Fegel,1.2,43,Switzerland,Y,N,N,N,Y,N,N,N,2013,4,1,1,1,Finance,male,"commodities trading, Self Made","Master of Business Administration, University of St. Gallen",1,0.8,Europe,2017,2014,,,The Consistent,
Dan Gertler,1.2,43,Israel,N,N,N,N,N,N,N,N,2013,5,0,0,0,Metals and Mining,male,mining,"Diploma, High School",1,1,Middle East,2017,,1996,Founder,The Consistent,23
David Penaloza Alanis,1.2,43,Mexico,N,N,N,N,N,N,N,N,2015,3,0,0,0,Logistics,male,toll roads,NA,0,1,South America,2017,,,,The Newbie,
Kostyantin Zhevago,1.2,43,Ukraine,Y,N,Y,N,N,N,N,N,2007,8,2,2,2,Metals and Mining,male,"mining, Self Made","Bachelor of Arts / Science, Kiev State Economic University",1,0.73,Europe,2017,2015,1960,CEO,The Hustler,
Zeng Kaitian,1.2,42,China,Y,N,N,N,N,N,N,N,2016,2,0,0,0,Gaming,male,"online games, Self Made",NA,0,1,Asia,2017,,,,The Newbie,
Chen Tianqiao,1.2,42,China,Y,N,Y,N,N,N,N,N,2010,6,1,0,0,Gaming,male,"online games, Self Made","Bachelor of Arts / Science, Fudan University",1,0.75,Asia,2015,2016,1999,Founder,The Hustler,27
Sun Deliang,1.2,42,China,Y,N,N,N,N,N,N,N,2015,1,1,0,0,Software,male,"software, Self Made",NA,0,0.33,Asia,2015,2016,,,The Newbie,
Chris Sacca,1.2,41,United States,Y,N,Y,N,N,Y,Y,N,2017,1,0,0,0,Investments,male,"venture capital investing, Self Made","Bachelor of Arts / Science, Georgetown University; Doctor of Jurisprudence, Georgetown University",2,1,North America,2017,,,,The Newbie,
Jiang Ning,1.2,41,China,Y,N,N,N,N,N,N,N,2015,1,1,0,0,Technology,male,"telecom, Self Made",NA,0,0.33,Asia,2015,2016,,,The Newbie,
Liu Zaiwang,1.2,41,China,Y,Y,N,N,N,N,N,N,2013,1,1,0,0,Retail,male,"decoration, Self Made","Drop Out, Northeastern University",0,0.2,Asia,2013,2014,,,The Ghost,
Mikhail Abyzov,1.2,41,Russia,Y,N,Y,N,N,N,N,N,2011,4,1,0,0,Energy,male,"power, power engineering, Self Made","Bachelor of Arts / Science, Sholokhov Moscow State University for Humanities",1,0.57,Europe,2014,2015,,Chairman,The Hustler,
Cai Xiaoru,1.2,36,China,Y,N,N,N,N,N,N,N,2016,1,1,0,0,Manufacturing,male,"electronic components, Self Made",NA,0,0.5,Asia,2016,2017,,,The Newbie,
Sergei Polonsky,1.2,35,Russia,Y,N,N,N,N,N,N,Y,2008,1,1,0,0,Real Estate,male,"self made, Real Estate",St Petersburg State University,1,0.1,Europe,2008,2009,,,The Ghost,
Sachin Bansal,1.2,34,India,Y,N,Y,N,N,N,N,N,2016,1,1,0,0,Technology,male,"flipkart, Self Made","Bachelor of Science in Engineering, Indian Institute of Technology",1,0.5,Asia,2016,2017,,,The Newbie,
Kevin Systrom,1.2,33,United States,Y,N,Y,N,N,N,N,N,2017,1,0,0,0,Software,male,"Instagram, Self Made","Bachelor of Arts / Science, Stanford University",1,1,North America,2017,,,,The Newbie,
Binny Bansal,1.2,33,India,Y,N,Y,N,N,N,N,N,2016,1,1,0,0,Retail,male,"flipkart, Self Made","Bachelor of Science in Engineering, Indian Institute of Technology; Bachelor of Science in Engineering, Indian Institute of Technology",2,0.5,Asia,2016,2017,,,The Newbie,
Katharina Andresen,1.2,21,Norway,N,N,N,N,N,N,N,N,2016,2,0,0,0,Investments,female,investments,NA,0,1,Europe,2017,,,,The Newbie,
Alexandra Andresen,1.2,20,Norway,N,N,N,N,N,N,N,N,2016,2,0,0,0,Investments,female,investments,NA,0,1,Europe,2017,,,,The Newbie,
Jacob Stolt-Nielsen,1.15,82,Norway,Y,N,N,N,N,N,N,N,2014,1,1,0,0,Logistics,male,"shipping, Self Made",NA,0,0.25,Europe,2014,2015,1959,Founder,The Hustler,28
Rosa Evangelina Marcondes Penido Dalla Vecchia,1.15,63,Brazil,N,N,N,N,N,N,N,N,2013,1,1,0,0,Service,female,toll roads,NA,0,0.2,South America,2013,2014,,,The Ghost,
