Country,Self.Made,Bachelors.Degree,MBA1,Sector,founding_year,relation,Age.at.start,Cluster,Name
Germany,Y,N,N,Health care,1983,Founder,43,The Consistent,Wolfgang Marguerre
Germany,N,N,N,Manufacturing,1946,NA,4,The Consistent,Maria-Elisabeth Schaeffler
United States,Y,Y,N,Sports,1970,NA,28,The Consistent,Jerry Jones
Israel,Y,N,N,Media,1991,Founder,47,The Consistent,Arnon Milchan
United States,Y,Y,N,Finance,1989,NA,41,The Consistent,Israel Englander
India,N,N,N,Metals and Mining,1969,Relation,19,The Consistent,Savitri Jindal
United States,Y,Y,Y,Finance,1972,Employee,20,The Consistent,John Doerr
France,N,N,N,Investments,1822,NA,-130,The Consistent,Vincent Bollore
India,N,Y,N,Health care,1952,NA,-1,The Consistent,Pankaj Patel
India,Y,Y,N,Construction and Engineering,NA,NA,NA,The Ghost,G. M. Rao
Canada,N,N,N,Finance,1925,Relation,-4,The Hustler,Jacqueline Desmarais
United Kingdom,N,N,Y,Finance,1800,Relation,-133,The Consistent,Bruno Schroder
United States,N,Y,N,Finance,NA,NA,NA,The Consistent,Rupert Johnson
United States,Y,Y,Y,Sports,1972,Founder,31,The Consistent,Robert Kraft
Singapore,N,N,N,Real Estate,NA,NA,NA,The Consistent,Kwee family
Spain,N,N,N,Retail,NA,NA,NA,The Consistent,Juan Roig
United States,Y,Y,N,Manufacturing,1979,Founder,29,The Consistent,Steven Rales
Switzerland,Y,Y,Y,Metals and Mining,1974,NA,18,The Consistent,Ivan Glasenberg
Russia,Y,Y,N,Metals and Mining,1997,Founder,29,The Consistent,Oleg Deripaska
France,N,N,N,Food and Beverage,NA,NA,NA,The Consistent,Pierre Bellon
United Kingdom,Y,N,N,Media,NA,Founder,NA,The Consistent,David & Frederick Barclay
United States,N,Y,N,Real Estate,NA,NA,NA,The Consistent,Edward Roski
France,Y,N,N,Media,1964,Founder,27,The Consistent,Jean-Claude Decaux
United States,Y,Y,N,Real Estate,1999,Founder,57,The Consistent,Sam Zell
United States,Y,Y,Y,Finance,1976,Founder,33,The Consistent,Henry Kravis
United States,Y,Y,N,Finance,1969,Founder,26,The Consistent,George Roberts
Sweden,N,N,N,Diversified,1939,NA,-8,The Consistent,Dan Olsson
