Country,Self.Made,Bachelors.Degree,MBA1,Sector,founding_year,relation,Age.at.start,Cluster,Name
Germany,N,N,N,Retail,1891,NA,-50,The Consistent,Rosely Schweizer
Spain,N,N,N,Investments,1938,Relation,-4,The Consistent,Juan Abello
Turkey,N,Y,N,Diversified,NA,Relation,NA,The Consistent,Suna Kirac
United States,Y,N,N,Manufacturing,1970,Founder,29,The Consistent,Ronald Wanek
United States,N,Y,N,Technology,1969,Founder,34,The Ghost,James Kim
United States,N,Y,N,Real Estate,1938,Relation,-2,The Hustler,Marilyn Carlson Nelson
France,Y,N,N,Investments,NA,NA,NA,The Ghost,Romain Zaleski
United States,Y,Y,N,Software,NA,Founder,NA,The Hustler,James Clark
Germany,N,N,N,Retail,1891,Relation,-53,The Consistent,August Oetker
Indonesia,Y,Y,N,Metals and Mining,NA,NA,NA,The Ghost,Kiki Barki
United States,N,Y,N,Sports,1947,Relation,2,The Hustler,James France
Germany,Y,N,N,Automotive,NA,NA,NA,The Consistent,Peter Unger
United States,N,Y,N,Real Estate,NA,NA,NA,The Hustler,Barbara Carlson Gage
Brazil,Y,N,N,Real Estate,NA,NA,NA,The Consistent,Edson de Godoy Bueno
Germany,N,N,N,Retail,1891,NA,-56,The Consistent,Bergit Douglas
United States,Y,Y,Y,Finance,1995,Founder,49,The Hustler,Howard Marks
Hong Kong,N,N,N,Retail,1981,Chairman,34,The Consistent,Silas Chou
Hong Kong,N,N,N,Real Estate,1971,Founder,23,The Consistent,Vincent Lo
Germany,N,N,N,Retail,1891,Relation,-58,The Consistent,Christian Oetker
United States,Y,Y,N,Technology,1975,Leadership,26,The Hustler,Charles Simonyi
Mexico,Y,Y,N,Metals and Mining,1991,Founder,43,The Consistent,Rufino Vigil Gonzalez
Brazil,Y,N,N,Fashion and Retail,1971,Founder,22,The Consistent,Alexandre Grendene Bartelle
United States,Y,Y,N,Technology,1978,NA,29,The Consistent,Phillip Ragon
Ireland,Y,N,N,Finance,1995,Founder,45,The Consistent,Dermot Desmond
Canada,Y,N,N,Construction and Engineering,1978,NA,28,The Consistent,Peter Gilgan
Germany,N,N,N,Retail,1891,NA,-60,The Consistent,Richard Oetker
United States,N,N,N,Media,NA,NA,NA,The Ghost,David Hearst Jr
Switzerland,Y,N,N,Energy,NA,Founder,NA,The Hustler,Jean Claude Gandur
Taiwan,N,N,N,Manufacturing,1949,Relation,-4,The Consistent,Liao Long-Shing
Sweden,N,N,N,Retail,1947,Inherited,-3,The Hustler,Liselott Persson
China,Y,N,N,Manufacturing,NA,NA,NA,The Ghost,Meng Qingshan
Canada,N,N,N,Real Estate,1948,Relation,-7,The Consistent,Carlo Fidani
United States,Y,N,N,Real Estate,NA,NA,NA,The Ghost,Tamir Sapir
Russia,Y,N,N,Real Estate,1992,Investor,40,The Hustler,Valery Kogan
United States,Y,Y,N,Finance,1995,Founder,40,The Hustler,Bruce Karsh
India,Y,N,N,Real Estate,1980,NA,25,The Consistent,Mangal Prabhat Lodha
United States,Y,Y,N,Finance,NA,NA,NA,The Ghost,Bruce Wasserstein
United States,N,Y,N,Real Estate,NA,NA,NA,The Ghost,James Pritzker
Philippines,Y,N,N,Retail,NA,NA,NA,The Hustler,Lucio and Susan Co
United States,Y,Y,N,Finance,1992,NA,36,The Consistent,Glenn Dubin
Hong Kong,Y,N,N,Real Estate,1994,Founder/Chairman,38,The Consistent,Li Sze Lim
United States,Y,Y,Y,Finance,1989,Founder,33,The Consistent,Jonathan Nelson
United States,Y,Y,N,Finance,NA,NA,NA,The Consistent,Kavitark Shriram
United States,N,Y,N,Media,NA,NA,NA,The Ghost,Austin Hearst
Indonesia,N,N,N,Manufacturing,1932,NA,-25,The Consistent,Bachtiar Karim
United States,N,Y,N,Finance,NA,NA,NA,The Ghost,R Allen Stanford
United States,N,Y,N,Sports,NA,NA,NA,The Hustler,Frank Fertitta
United States,Y,N,N,Real Estate,2003,Founder,41,The Consistent,Sun Hongbin
Taiwan,N,N,N,Technology,NA,NA,NA,The Ghost,Cher Wang & Wenchi Chen
China,Y,Y,N,Software,1995,NA,32,The Hustler,Li Zhongchu
Poland,Y,N,N,Finance,1996,Founder,35,The Hustler,Leszek Czarnecki
Ukraine,Y,N,N,Metals and Mining,NA,NA,NA,The Ghost,Serhiy Taruta
China,Y,Y,N,Health care,1995,NA,31,The Consistent,Lam Kong
Germany,N,N,N,Retail,1891,NA,-76,The Consistent,Alfred Oetker
Germany,N,Y,N,Investments,1862,NA,-105,The Consistent,Georg von Opel
Ukraine,Y,N,N,Metals and Mining,NA,NA,NA,The Ghost,Vitaliy Hayduk
United States,N,Y,Y,Sports,NA,NA,NA,The Hustler,Lorenzo Fertitta
Russia,N,N,N,Energy,NA,NA,NA,The Ghost,Ural Rakhimov
United States,Y,Y,N,Finance,2001,NA,32,The Consistent,Larry Robbins
Russia,Y,Y,N,Metals and Mining,1997,NA,27,The Consistent,Igor Altushkin
Russia,Y,Y,N,Finance,NA,NA,NA,The Consistent,Danil Khachaturov
Russia,Y,N,N,Finance,NA,NA,NA,The Ghost,Sergei Pugachev
Germany,N,N,N,Retail,1891,Relation,-82,The Consistent,Carl Ferdinand Oetker
United States,Y,Y,Y,Fashion and Retail,1996,Founder,24,The Consistent,Kevin Plank
United States,N,N,N,Construction and Engineering,NA,NA,NA,The Ghost,Margaret Magerko
India,N,N,N,Energy,NA,NA,NA,The Ghost,Reji Abraham
India,N,Y,Y,Health care,NA,NA,NA,The Hustler,Malvinder & Shivinder Singh
Germany,N,N,N,Retail,1891,NA,-88,The Consistent,Julia Oetker
Germany,N,Y,N,Diversified,NA,Relation,NA,The Hustler,Albert von Thurn und Taxis
Saudi Arabia,N,N,N,Finance,1957,NA,NA,The Consistent,Abdullah Al Rajhi
Australia,Y,N,N,Real Estate,NA,Investor,NA,The Hustler,Stanley Perron
Canada,Y,N,N,Fashion and Retail,NA,NA,NA,The Consistent,Jean Coutu
Indonesia,Y,N,N,Diversified,1948,Founder,19,The Consistent,Mochtar Riady
Morocco,N,Y,N,Finance,NA,NA,NA,The Consistent,Othman Benjelloun
United States,N,Y,Y,Retail,NA,NA,NA,The Consistent,Drayton McLane
France,Y,Y,Y,Logistics,1978,NA,42,The Consistent,Jacques Saade
United States,Y,Y,N,Service,1975,Founder,34,The Consistent,Glen Taylor
Italy,Y,N,N,Construction and Engineering,NA,NA,NA,The Hustler,Francesco Gaetano Caltagirone
United States,Y,Y,N,Sports,NA,NA,NA,The Hustler,Leslie Alexander
Indonesia,N,Y,N,Diversified,NA,NA,NA,The Consistent,Theodore Rachmat
Sweden,N,N,N,Diversified,1939,Relation,-6,The Consistent,Madeleine Olsson Ericksson
Greece,N,N,N,Finance,NA,Relation,NA,The Consistent,Spiro Latsis
Mexico,N,Y,N,Finance,1992,Founder,45,The Consistent,Carlos Hank Rhon
China,Y,N,N,Construction and Engineering,1993,NA,46,The Consistent,Huang Zhenda
Monaco,Y,N,N,Fashion and Retail,1960,NA,12,The Consistent,David Nahmad
United States,Y,Y,N,Media,1981,Founder,34,The Consistent,Charles Zegar
Chile,N,N,Y,Finance,1937,NA,-14,The Consistent,Luis Enrique Yarur Rey
United Kingdom,Y,N,N,Real Estate,NA,Founder,NA,The Consistent,Eddie & Sol Zakay
United States,N,N,N,Health care,1979,Founder,38,The Ghost,Peter Nicholas
Russia,Y,Y,N,Energy,1993,President,41,The Consistent,Vladimir Bogdanov
Hong Kong,N,N,N,Real Estate,1961,NA,9,The Consistent,Or Wai Sheun
China,Y,Y,N,Real Estate,1990,Chairman,38,The Consistent,Zhang Guiping
Guernsey,Y,N,N,Finance,1981,Founder,29,The Consistent,Stephen Lansdown
Brazil,N,N,N,Retail,NA,NA,NA,The Hustler,Michael Klein
Singapore,Y,N,N,Real Estate,1995,Founder,42,The Consistent,Choo Chong Ngen
Kazakhstan,Y,N,N,Metals and Mining,NA,NA,NA,The Consistent,Alijan Ibragimov
Israel,Y,N,N,Metals and Mining,NA,NA,NA,The Consistent,Alexander Machkevich
South Korea,N,N,N,Finance,1958,NA,4,The Consistent,Shin Chang-Jae
Switzerland,Y,N,N,Energy,NA,NA,NA,The Ghost,Jean-Claude Gandur
United States,Y,Y,N,Metals and Mining,NA,NA,NA,The Ghost,Joseph Craft
India,N,N,N,Service,1959,Chairman,1,The Consistent,Sunny Varkey
Indonesia,N,N,N,Retail,1958,Relation,10,The Ghost,Rachman Halim
New Zealand,N,N,N,Investments,1986,Founder,28,The Consistent,Richard Chandler
United States,Y,N,N,Energy,1985,Founder,27,The Consistent,Christopher Cline
China,Y,Y,N,Construction and Engineering,1994,Investor,34,The Consistent,Zhu Xingliang
China,Y,N,N,Manufacturing,1996,Founder,35,The Consistent,Wong Luen Hei
China,Y,N,Y,Health care,1998,NA,37,The Hustler,Wu Guangming
France,N,N,N,Health care,1929,NA,-35,The Consistent,Anne Beaufour
China,Y,Y,N,Investments,NA,NA,NA,The Consistent,"Li Li, Investment"
France,Y,Y,N,Health care,1988,Founder,25,The Consistent,Gilles Martin
Switzerland,N,N,N,Health care,1954,Relation,-10,The Hustler,Thomas Straumann
Hong Kong,Y,N,N,Manufacturing,1992,Founder,28,The Consistent,Wong Man Li
France,N,N,N,Health care,1929,NA,-37,The Consistent,Henri Beaufour
Turkey,N,N,N,Finance,NA,Relation,NA,The Consistent,Filiz Sahenk
China,Y,N,N,Software,2012,Founder,49,The Hustler,Mo Tianquan
China,Y,N,N,Energy,1994,NA,27,The Consistent,Li Hejun
United Kingdom,N,Y,N,Metals and Mining,NA,NA,NA,The Ghost,Eduard Shifrin
China,Y,N,Y,Media,1999,Chairman,29,The Consistent,Cai Dongqing
Hong Kong,Y,N,N,Manufacturing,1990,Founder/Chairman,21,The Consistent,Chu Lam Yiu
Brazil,N,Y,Y,Finance,1966,NA,-4,The Consistent,Alfredo Egydio Arruda Villela Filho
United States,Y,Y,N,Technology,2008,Founder,39,The Consistent,Eric Lefkofsky
China,Y,Y,N,Manufacturing,2002,NA,32,The Consistent,Chen Jianhua
United States,Y,Y,N,Finance,NA,NA,NA,The Consistent,Chase Coleman
Brazil,N,N,N,Manufacturing,1967,Relation,NA,The Hustler,Dorothea Steinbruch
United States,Y,Y,Y,Investments,1964,Founder,38,The Consistent,David Gottesman
Egypt,Y,N,N,Retail,NA,NA,NA,The Consistent,Mohamed Al Fayed
France,Y,N,N,Construction and Engineering,1957,Founder,26,The Consistent,Clement Fayat
United States,Y,Y,Y,Technology,1984,NA,51,The Consistent,John Morgridge
Brazil,Y,N,N,Finance,1960,Founder,25,The Consistent,Julio Bozano
Taiwan,Y,N,N,Real Estate,1965,NA,30,The Consistent,Chen Yung-Tai
Spain,N,N,N,Finance,1857,NA,-80,The Consistent,Jaime Botin
South Africa,Y,N,N,Finance,1973,Founder,36,The Consistent,Allan Gray
Germany,Y,N,N,Technology,NA,NA,NA,The Consistent,Erich Kellerhals
Australia,Y,N,N,Retail,NA,NA,NA,The Consistent,Gerry Harvey
Austria,N,Y,N,Logistics,1955,Relation,15,The Consistent,Helmut Sohmen
Australia,Y,N,N,Diversified,NA,Investor,NA,The Hustler,Kerry Stokes
Mexico,Y,Y,N,Finance,1884,Former Ceo,-58,The Consistent,Roberto Hernandez Ramirez
Spain,Y,N,N,Real Estate,1980,Founder,39,The Consistent,Manuel Jove
Canada,Y,N,Y,Finance,1983,Founder,42,The Consistent,Gerald Schwartz
United States,Y,Y,N,Gaming,NA,Founder,NA,The Consistent,Elaine Wynn
United States,N,N,N,Food and Beverage,NA,NA,NA,The Consistent,"Richard Yuengling, Jr."
United States,N,N,N,Manufacturing,1947,Relation,2,The Consistent,Catherine Lozick
South Korea,N,Y,N,Technology,1938,NA,-8,The Consistent,Hong Ra-Hee
Hong Kong,Y,N,N,Automotive,1987,CEO,40,The Consistent,Cho Tak Wong
India,Y,N,N,Software,1981,NA,35,The Consistent,N.R. Narayana Murthy
Spain,Y,N,N,Construction and Engineering,1983,CEO/Chairman,36,The Consistent,Florentino Perez
Brazil,Y,N,N,Health care,NA,Founder,NA,The Consistent,Dulce Pugliese de Godoy Bueno
China,Y,Y,N,Health care,1992,NA,44,The Hustler,An Kang
United States,N,Y,N,Media,1987,Founder,38,The Consistent,Craig McCaw
United States,Y,Y,N,Service,NA,NA,NA,The Ghost,B Thomas Golisano
United States,N,Y,N,Service,NA,NA,NA,The Consistent,Jennifer Pritzker
Malaysia,Y,N,N,Construction and Engineering,NA,Founder,NA,The Consistent,Syed Mokhtar AlBukhary
United States,N,Y,N,Sports,NA,NA,NA,The Hustler,Jeffrey Lurie
Belgium,Y,N,N,Metals and Mining,NA,Founder,NA,The Consistent,Patokh Chodiev
Macau,Y,N,N,Real Estate,1997,CEO/Chairman,47,The Hustler,David Chow
Portugal,Y,N,N,Investments,NA,NA,NA,The Ghost,Jose Berardo
Austria,Y,N,N,Construction and Engineering,1852,President And Ceo,-102,The Consistent,Wolfgang Leitner
United States,N,N,N,Service,NA,NA,NA,The Consistent,Linda Pritzker
China,Y,N,N,Real Estate,NA,NA,NA,The Consistent,Miao Shouliang
Germany,N,N,N,Fashion and Retail,1927,Relation,-29,The Consistent,Sylvia Stroher
United States,Y,Y,Y,Finance,1989,Founder,33,The Consistent,Louis Bacon
Hong Kong,Y,N,Y,Real Estate,1994,Founder,38,The Consistent,Xiong Xuqiang
Russia,Y,Y,N,Metals and Mining,NA,NA,NA,The Ghost,Alexander Shchukin
Germany,N,N,N,Retail,1876,NA,-82,The Consistent,Christoph Henkel
Russia,Y,Y,N,Metals and Mining,NA,NA,NA,The Ghost,Vladimir Melnichenko
United States,Y,Y,Y,Finance,1991,Founder,32,The Consistent,James Dinan
Canada,Y,Y,N,Energy,1989,Chairman,29,The Consistent,N. Murray Edwards
Poland,Y,N,N,Investments,NA,NA,NA,The Ghost,Roman Karkosik
Brazil,Y,Y,N,Construction and Engineering,1979,Founder,23,The Hustler,Rubens Menin Teixeira de Souza
United Kingdom,Y,N,N,Finance,1998,NA,38,The Consistent,Mark Coombs
Russia,Y,Y,N,Metals and Mining,NA,NA,NA,The Ghost,Valentin Bukhtoyarov
United States,N,Y,N,Investments,1988,Founder,27,The Consistent,Nicolas Berggruen
Egypt,Y,Y,N,Diversified,1952,Relation,-10,The Consistent,Yasseen Mansour
South Africa,Y,N,N,Metals and Mining,1997,Founder/Chairman,36,The Consistent,Patrice Motsepe
China,Y,Y,Y,Real Estate,NA,NA,NA,The Hustler,Geng Jianming
Australia,N,N,N,Manufacturing,1948,NA,-15,The Consistent,Heloise Waislitz
Russia,Y,N,N,Metals and Mining,NA,NA,NA,The Consistent,Alexander Frolov
China,Y,Y,N,Architecture,1992,Founder,27,The Hustler,He Qiaonu
China,Y,Y,N,Media,2000,Chairman,34,The Consistent,Wang Changtian
United States,Y,Y,N,Finance,NA,NA,NA,The Ghost,Randal Nardone
China,N,Y,N,Investments,1994,NA,25,The Consistent,Chen Jinxia
Brazil,Y,Y,N,Finance,2008,NA,40,The Consistent,Andre Esteves
United States,Y,Y,N,Finance,1985,Leadership,15,The Consistent,Jonathan Gray
United States,Y,Y,N,Finance,NA,NA,NA,The Ghost,Robert Kauffman
Canada,Y,Y,N,Metals and Mining,NA,NA,NA,The Ghost,Alexander Shnaider
United Kingdom,Y,N,N,Retail,1979,Founder,32,The Hustler,Bill Adderley
Germany,N,N,N,Automotive,1958,Relation,NA,The Consistent,Fritz Draexlmaier
United States,Y,Y,N,Automotive,NA,NA,NA,The Consistent,Norman Braman
Spain,Y,N,N,Service,1956,Founder,22,The Hustler,Gabriel Escarrer
France,Y,N,N,Food and Beverage,1959,NA,23,The Consistent,Daniel Roullier
Peru,Y,N,N,Diversified,1967,Founder,29,The Consistent,Vito Rodriguez Rodriguez
United States,N,N,N,Agriculture,NA,NA,NA,The Ghost,Marion MacMillan Pictet
Ireland,Y,Y,N,Manufacturing,1973,Founder,34,The Consistent,Martin Naughton
United States,N,Y,N,Food and Beverage,1869,Relation,-74,The Consistent,Charlotte Colket Weber
United States,Y,Y,N,Health care,1990,NA,47,The Consistent,John Kapoor
Singapore,Y,N,N,Energy,1963,Founder,20,The Consistent,Lim Oon Kuin
South Korea,N,N,N,Diversified,1947,Relation,2,The Consistent,Koo Bon-Moo
India,Y,N,N,Real Estate,1969,NA,25,The Consistent,Mofatraj Munot
Germany,N,N,N,Manufacturing,1950,NA,4,The Consistent,Dieter Schnabel
Japan,Y,N,N,Real Estate,1974,Founder,29,The Consistent,Katsumi Tada
Ireland,Y,Y,N,Media,1904,Chairman,-33,The Ghost,Anthony O'Reilly
Chile,N,Y,N,Diversified,NA,Relation,NA,The Consistent,Roberto Angelini Rossi
United States,Y,Y,N,Health care,1949,NA,0,The Consistent,Gary Michelson
United States,Y,Y,N,Retail,1938,Relation,-12,The Hustler,Timothy Boyle
Thailand,Y,N,N,Investments,1986,Founder,37,The Consistent,Thaksin Shinawatra
Indonesia,Y,N,N,Investments,1980,Founder,30,The Consistent,Peter Sondakh
United States,Y,Y,N,Finance,1977,Founder,35,The Ghost,Arthur Williams Jr
Cyprus,Y,N,N,Real Estate,NA,Founder,NA,The Hustler,Suat Gunsel
Spain,Y,N,N,Real Estate,NA,NA,NA,The Ghost,Joaquin Rivero
Mexico,N,N,N,Construction and Engineering,1906,Relation,-39,The Ghost,Lorenzo Zambrano
Colombia,Y,N,N,Food and Beverage,NA,NA,NA,The Ghost,Woods Staton
Russia,Y,Y,N,Fashion and Retail,1998,Founder,43,The Consistent,Aras Agalarov
United States,N,Y,N,Food and Beverage,NA,NA,NA,The Hustler,Carol Jenkins Barnett
United States,Y,Y,Y,Finance,1992,NA,35,The Consistent,Henry Swieca
United States,N,N,N,Retail,1973,Founder,25,The Ghost,Louis Gonda
Russia,Y,N,N,Logistics,NA,NA,NA,The Hustler,Sergei Petrov
India,N,N,N,Manufacturing,1988,NA,29,The Consistent,Aloke Lohia
United States,N,Y,Y,Media,1969,Relation,9,The Consistent,Brian Roberts
Italy,Y,Y,N,Retail,1987,Founder,28,The Consistent,Sandro Veronesi
China,Y,N,N,Metals and Mining,NA,NA,NA,The Ghost,Huang Zelan
United States,Y,Y,N,Media,1995,Founder,35,The Consistent,Todd Wagner
China,Y,N,N,Education,1993,Founder,32,The Hustler,Yu Minhong
Greece,Y,Y,N,Logistics,NA,NA,NA,The Ghost,George Economou
China,Y,Y,N,Health care,NA,NA,NA,The Hustler,Zhu Baoguo
China,Y,N,N,Real Estate,NA,NA,NA,The Hustler,Wang Jiufang
United States,Y,Y,N,Metals and Mining,1974,Employee,9,The Consistent,Tor Peterson
China,Y,N,N,Technology,2004,Founder,39,The Consistent,Wang Laisheng
India,N,Y,N,Real Estate,1993,NA,27,The Consistent,Jitendra Virwani
United States,Y,Y,N,Finance,2001,Founder,39,The Hustler,Philip Falcone
Russia,Y,Y,N,Manufacturing,2002,President,35,The Hustler,Andrei Bokarev
China,Y,N,Y,Technology,2004,Chairman,36,The Consistent,Wang Laichun
Canada,Y,Y,N,Technology,1984,Founder,23,The Ghost,Mike Lazaridis
India,N,N,N,Fashion and Retail,1999,NA,28,The Consistent,Nirav Modi
United States,N,N,N,Technology,1985,Founder,23,The Ghost,Theodore Waitt
India,N,N,N,Service,1953,NA,-20,The Consistent,Ranjan Pai
Turkey,Y,N,N,Food and Beverage,2005,NA,33,The Consistent,Hamdi Ulukaya
Brazil,N,N,N,Finance,1966,NA,-8,The Consistent,Ana Lucia de Mattos Barretto Villela
Switzerland,Y,N,N,Finance,1969,NA,40,The Consistent,Edgar de Picciotto
United States,Y,Y,N,Finance,1961,Founder,40,The Consistent,George Joseph
United States,Y,N,N,Media,NA,Founder,NA,The Consistent,Billy Joe (Red) McCombs
United States,N,Y,Y,Finance,1958,Relation,29,The Hustler,Fayez Sarofim
United States,N,Y,N,Retail,NA,NA,NA,The Hustler,Donald Hall
France,Y,N,N,Retail,NA,NA,NA,The Consistent,Michel Chalhoub
Indonesia,N,Y,N,Real Estate,1961,Founder,30,The Consistent,Ciputra
Japan,Y,N,N,Technology,1961,Founder,35,The Ghost,Tetsuro Funai
Italy,Y,N,N,Construction and Engineering,1936,Relation,3,The Hustler,Simonpietro Salini
United States,Y,N,N,Automotive,1965,Founder,29,The Consistent,Roger Penske
United States,N,Y,N,Real Estate,NA,NA,NA,The Hustler,Bill Marriott Jr
France,Y,N,N,Metals and Mining,1990,NA,55,The Consistent,Pierre Papillaud
United States,Y,N,N,Investments,1962,Investor,24,The Consistent,Stewart Horejsi
United Kingdom,N,N,N,Retail,NA,NA,NA,The Ghost,Kenneth Morrison
Russia,Y,Y,N,Technology,NA,NA,NA,The Consistent,Valentin Gapontsev
Turkey,Y,N,N,Media,1961,Founder,25,The Hustler,Aydin Dogan
Germany,N,Y,N,Media,1898,NA,-42,The Consistent,Hubert Burda
United States,Y,Y,N,Technology,1989,Founder,52,The Hustler,Gary Burrell
United States,N,Y,N,Food and Beverage,1947,Relation,4,The Consistent,Christopher Goldsbury
Germany,Y,N,N,Manufacturing,1985,Founder,41,The Consistent,Horst Julius Pudwill
United Kingdom,Y,N,N,Technology,1972,Founder,27,The Consistent,Michael Ashcroft
United States,Y,Y,Y,Finance,1981,NA,36,The Consistent,David Booth
Germany,Y,N,N,Health care,1987,Founder,41,The Consistent,Lutz Mario Helmig
Brazil,Y,Y,N,Real Estate,1962,Founder,19,The Hustler,Elie Horn
Malaysia,Y,N,N,Gaming,1995,Founder,48,The Hustler,Chen Lip Keong
Turkey,Y,N,N,Diversified,NA,NA,NA,The Consistent,Mehmet Nazif Gunal
Oman,Y,N,N,Real Estate,NA,NA,NA,The Consistent,P.N.C. Menon
Australia,Y,Y,N,Investments,1994,Founder,45,The Consistent,Kerr Neilson
Nigeria,Y,N,N,Energy,1991,NA,41,The Consistent,Folorunsho Alakija
India,Y,N,N,Health care,1990,Founder,40,The Consistent,Murali Divi
United States,N,Y,N,Energy,NA,Founder,NA,The Consistent,Timothy Headington
Turkey,Y,N,N,Diversified,NA,NA,NA,The Hustler,Nihat Ozdemir
United States,Y,Y,N,Real Estate,NA,NA,NA,The Ghost,Alan Casden
Indonesia,N,Y,N,Metals and Mining,NA,NA,NA,The Hustler,Edwin Soeryadjaya
United States,N,Y,N,Energy,NA,NA,NA,The Ghost,Phyllis Taylor
United States,Y,Y,Y,Investments,1985,NA,34,The Hustler,Hamilton James
United States,N,Y,Y,Metals and Mining,NA,NA,NA,The Consistent,Jim Justice
Italy,Y,N,N,Fashion and Retail,1995,Founder,43,The Consistent,Mario Moretti Polegato
Italy,N,N,N,Fashion and Retail,NA,NA,NA,The Consistent,Diego Della Valle
India,N,N,N,Technology,1979,Relation,27,The Hustler,Venugopal Dhoot
China,Y,Y,N,Retail,NA,NA,NA,The Hustler,Wang Muqing
United States,Y,Y,Y,Investments,1982,Founder,28,The Consistent,Vinod Khosla
Turkey,Y,Y,N,Diversified,NA,NA,NA,The Hustler,Turgay Ciner
India,Y,N,N,Software,1981,Founder/Chairman,26,The Consistent,Senapathy Gopalakrishnan
India,Y,Y,N,Software,1981,NA,26,The Consistent,Nandan Nilekani
India,N,N,N,Fashion and Retail,NA,NA,NA,The Hustler,Joy Alukkas
China,Y,N,N,Manufacturing,1995,Founder,39,The Consistent,Cheung Yan
Germany,Y,N,N,Fashion and Retail,NA,NA,NA,The Consistent,Bernd Freier
United States,Y,Y,Y,Finance,1986,NA,29,The Hustler,Thomas Steyer
Canada,Y,Y,N,Finance,1950,Relation,-1,The Ghost,Michael Lee-Chin
United States,N,Y,N,Real Estate,NA,NA,NA,The Consistent,"H. Ross Perot, Jr."
Russia,Y,N,N,Energy,NA,NA,NA,The Ghost,Shalva Chigirinsky
United States,Y,Y,N,Finance,1995,Founder,35,The Consistent,Marc Lasry
China,Y,N,N,Diversified,1992,Chairman,30,The Consistent,Ye Cheng
Norway,Y,N,N,Service,1996,NA,34,The Consistent,Petter Stordalen
China,Y,Y,N,Health care,NA,NA,NA,The Consistent,"Li Li, health care"
Spain,Y,N,N,Construction and Engineering,NA,NA,NA,The Ghost,Manuel Manrique
United States,Y,Y,Y,Finance,1995,NA,31,The Consistent,O. Francis Biondi
United States,Y,Y,N,Finance,1995,NA,31,The Consistent,Brian Higgins
China,Y,N,Y,Retail,NA,NA,NA,The Ghost,Chen Yihong
Canada,Y,Y,Y,Technology,1984,CEO,24,The Ghost,James Balsillie
United Kingdom,N,N,N,Media,1894,Relation,-74,The Hustler,Jonathan Harmsworth
United States,Y,N,N,Energy,NA,NA,NA,The Ghost,Tom Ward
China,Y,N,N,Retail,NA,NA,NA,The Hustler,Wong Kwong Yu
United States,N,N,N,Fashion and Retail,NA,NA,NA,The Consistent,Aerin Lauder Zinterhofer
South Korea,N,Y,N,Diversified,1938,Relation,-33,The Consistent,Lee Boo-Jin
United States,N,N,N,Fashion and Retail,NA,NA,NA,The Consistent,Jane Lauder
China,Y,N,N,Retail,NA,NA,NA,The Hustler,Huang Shaowu
Russia,Y,N,N,Retail,NA,NA,NA,The Ghost,Igor Yakovlev
Hong Kong,N,Y,N,Gaming,NA,NA,NA,The Consistent,Lawrence Ho
India,Y,N,N,Gaming,NA,NA,NA,The Ghost,Anurag Dikshit
Saudi Arabia,N,N,N,Construction and Engineering,NA,NA,NA,The Consistent,Ayman Hariri
China,Y,Y,Y,Metals and Mining,NA,NA,NA,The Ghost,Xian Yang
Lebanon,N,N,N,Construction and Engineering,NA,Relation,NA,The Consistent,Fahd Hariri
Brazil,Y,Y,N,Construction and Engineering,1976,Founder,NA,The Hustler,Cesar Mata Pires
Saudi Arabia,N,N,N,Finance,NA,NA,NA,The Ghost,Mohammed Al Rajhi
Canada,Y,N,N,Real Estate,1958,Founder,38,The Hustler,Marcel Adams
United States,Y,N,N,Investments,1962,Vice Chairman,38,The Consistent,Charles Munger
United States,Y,Y,N,Logistics,1970,NA,43,The Consistent,Manuel Moroun
United States,Y,N,N,Media,1956,Founder,27,The Consistent,Alan Gerry
United States,N,N,N,Media,1912,Relation,-10,The Ghost,Robert Naify
Canada,Y,N,N,Automotive,1956,Founder,24,The Consistent,Frank Stronach
United States,N,Y,Y,Media,NA,NA,NA,The Ghost,Frank Batten Sr
Argentina,Y,N,N,Energy,1968,Relation,32,The Consistent,Gregorio Perez Companc
United States,Y,Y,N,Technology,NA,NA,NA,The Ghost,Amar Bose
United States,Y,N,N,Retail,NA,NA,NA,The Ghost,Michael Ilitch
Brazil,Y,Y,N,Construction and Engineering,1944,Founder,11,The Hustler,Victor Gradin
India,N,N,N,Health care,1935,Relation,-2,The Consistent,Yusuf Hamied
Portugal,Y,Y,Y,Diversified,NA,NA,NA,The Consistent,Belmiro de Azevedo
India,Y,Y,N,Diversified,NA,NA,NA,The Ghost,Jaiprakash Gaur
Australia,Y,N,N,Health care,1964,Founder,29,The Hustler,Paul Ramsay
United States,N,Y,N,Finance,1922,Relation,-18,The Hustler,Herbert Allen
United States,Y,Y,N,Logistics,1965,NA,26,The Hustler,Jim Thompson
Brazil,Y,Y,N,Retail,1975,Founder,35,The Consistent,Jose Isaac Peres
United States,Y,N,N,Investments,1974,Founder,40,The Ghost,Marc Rich
United States,N,N,N,Gaming,NA,NA,NA,The Ghost,William Boyd
United States,N,N,N,Other,1947,Relation,15,The Ghost,William France Jr
United States,Y,Y,Y,Finance,1977,NA,35,The Hustler,Mario Gabelli
United States,Y,N,N,Investments,2005,Founder,63,The Consistent,Nelson Peltz
United Kingdom,N,N,N,Energy,1912,NA,-31,The Consistent,Ian Wood
Hong Kong,Y,N,N,Diversified,NA,NA,NA,The Consistent,Albert Yeung
Taiwan,Y,N,N,Real Estate,1969,NA,26,The Consistent,Chao Teng-Hsiung
Taiwan,N,N,N,Diversified,1940,NA,-3,The Hustler,Douglas Hsu
