Name_updated,Name,Not Available,Citizenship,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,joining_year,no_of_times_on_list,no_of_times_left,no_of_comebacks,longest_time_away,Sector
Marcos Galperin,Marcos Galperin,,United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,2017,1,0,0,0,
Margaret Magerko,Margaret Magerko,,United States,X,X,X,X,NA,NA,NA,NA,NA,NA,NA,2007,4,1,0,0,
Margaretta Taylor,Margaretta Taylor,59,United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,2016,2,0,0,0,
Margarita Louis-Dreyfus,Margarita Louis-Dreyfus,759,Switzerland,NA,NA,NA,NA,NA,NA,X,X,X,X,X,2013,5,0,0,0,
Marguerite Harbert,Marguerite Harbert,,United States,X,X,X,X,X,NA,NA,NA,NA,NA,NA,2007,5,1,0,0,
Maria-Elisabeth & Georg Schaeffler,Maria-Elisabeth Schaeffler,760,Germany,X,X,X,NA,X,X,X,X,X,X,X,2007,10,1,1,1,
Maria Asuncion Aramburuzabala,Maria Asuncion Aramburuzabala,761,Mexico,X,NA,NA,NA,NA,NA,X,X,X,X,X,2007,6,1,1,5,
Maria de Lourdes Egydio Villela,Maria de Lourdes Egydio Villela,,Brazil,NA,NA,NA,NA,X,X,NA,NA,X,NA,NA,2011,3,2,1,2,
Maria Del Pino y Calvo-Sotelo,Maria Del Pino y Calvo-Sotelo,,Spain,NA,NA,NA,NA,NA,NA,X,X,X,X,X,2013,5,0,0,0,
Maria Franca Fissolo,Maria Franca Fissolo,762,Italy,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,2015,3,0,0,0,
Maria Helena Moraes Scripilliti,Maria Helena Moraes Scripilliti,763,Brazil,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,2014,4,0,0,0,
Maria Ines de Lafuente Lacroze,Maria Ines de Lafuente Lacroze,,Argentina,NA,NA,NA,NA,NA,X,X,X,X,NA,NA,2012,4,1,0,0,
Maria Luisa Solari Falabella,Maria Luisa Solari Falabella,,Chile,NA,NA,NA,NA,NA,NA,X,X,X,NA,NA,2013,3,1,0,0,
Maria Noseda Zambra,Maria Noseda Zambra,,Chile,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,1,1,0,0,
Marian Ilitch,Marian Ilitch,84,United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,2017,1,0,0,0,
Marianne Liebmann,Marianne Liebmann,167,United States,NA,NA,X,X,X,X,X,X,X,X,X,2009,9,0,0,0,
Marie-Jeanne Meyer,Marie-Jeanne Meyer,,France,NA,NA,NA,NA,NA,NA,X,X,X,NA,NA,2013,3,1,0,0,
Marie Besnier Beauvalot,Marie Besnier Beauvalot,764,France,NA,NA,NA,NA,NA,NA,X,X,X,X,X,2013,5,0,0,0,
Marilyn Carlson Nelson,Marilyn Carlson Nelson,,United States,X,X,X,X,X,X,X,X,X,NA,NA,2007,9,1,0,0,
Marina Prada,Marina Prada,,Italy,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,2015,3,0,0,0,
Mario Brescia Cafferata,Mario Brescia Cafferata,,Peru,NA,NA,NA,NA,NA,NA,X,NA,NA,NA,NA,2013,1,1,0,0,
Mario Gabelli,Mario Gabelli,,United States,NA,X,NA,X,NA,NA,X,X,X,X,X,2008,7,2,2,2,
Mario Lopez Estrada,Mario Lopez Estrada,,Guatemala,NA,NA,NA,NA,NA,NA,NA,NA,X,NA,NA,2015,1,1,0,0,
