Country_Name,Country_Code,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015
Monaco,MCO,198639852.6,236520592.6,235268798.9,236192563.7,255310593.8,245063975.9,264385611.7,306582616.8,0
Mongolia,MNG,214446161.5,313608462,242479369.5,337685472.5,463687959.1,518733210.3,528337872.5,568395225.1,0
Montenegro,MNE,247668636.4,278372984.3,252564142.3,284001516.6,311738797.3,293216203,283894464.8,286174223.4,0
Morocco,MAR,4118610731,4812719716,5150362987,5318121632,5941518230,5895039310,6163004966,6446859285,0
Mozambique,MOZ,478811737.9,542939759.4,582546845.7,544444059.3,822801887.7,833264844.2,911650772.4,1142990332,0
Myanmar,MMR,351682496.1,501470379.7,677897440.8,788834020.6,994256441.7,1243662157,950191662.8,1084122704,0
Namibia,NAM,611271239.6,605052181.2,714683244.3,889831758.7,1089768816,1072258250,1103001830,1199063828,0
Nauru,NRU,4425300.262,6830602.06,5129923.241,5689183.805,6583514.467,8405891.696,7110967.16,5255310.542,0
Nepal,NPL,640114214.7,752495748.3,816345302.1,1047071738,1242696881,1056389398,1035001294,1123274955,0
Netherlands,NLD,78541868826,89612123039,88278374145,87617880051,94087347607,91286452876,95446360100,95821968603,0
New Zealand,NZL,11426696488,14114718269,13499355414,16268909286,18676413611,19770137487,20758974787,21950930239,0
Nicaragua,NIC,515646107.6,592941422,571382490.7,575049052.5,623769513.8,841191096.3,914603353.8,1067246413,0
Niger,NER,297253294.5,365152425.9,376628227.5,363794498.4,427049075.4,408518083.9,381485274.7,466300699.2,0
Nigeria,NGA,11973449355,13376788746,11541905540,12808406087,15267735892,15207185666,19073966859,20857074591,0
Norway,NOR,34413707921,38813121462,36650906849,39663014767,45509143610,46672796711,49095659574,48649030452,0
Oman,OMN,1020903215,1225548355,1369409300,1609164782,1732944770,1955462988,2199171634,2859522292,0
Pakistan,PAK,5101538864,4924068661,4747823873,5263327963,6366565261,5936633035,6095156848,6690248523,0
Palau,PLW,19099200,19327736.29,18862344.1,20965612.52,20169817.89,21715169.21,22797000.61,24267924.92,0
Panama,PAN,1332080000,1679697960,1960005807,2318718205,2495758830,2750000000,3448473430,3708895545,0
Papua New Guinea,PNG,255984147.1,324487147,353194884.3,405722562.4,636317610.6,700308282.3,736524643.1,689322474.9,0
Paraguay,PRY,884466395.3,1307068317,1456329765,1824665270,2365282750,2541698656,3032450099,3040973565,0
